"id","name"
"a1e3c9ef-1d7b-4342-9048-179dedf7ca92","Simpson Associates Internal Reporting"
"1b1cfc2b-b31c-48f8-b818-5b01aee2a739","Support"
"a1fe2c17-b974-4145-a827-8eadae9988c5","Application Sandbox"
"2c5d1ff8-f04c-4c04-a531-ee2ecb4e43c9","IoT Development"
"0ef70510-6d82-49ed-8734-b3694915d218","Office Move"
"6dd32134-9e71-4865-870a-a81a40f5a01a","Internal Infrastructure"
"93beb048-b6dd-4007-8cc3-4e8e05e86415","Orbit - Report Building"
"897dac9b-d399-4e2e-adbf-897c05ca1038","Data-Team"
"0e60689f-b466-4a58-9e64-50408a6ee32b","Sales and Marketing"
"377b51ce-448a-439c-b6d7-4e8300bb093e","Company Templates"
"343d87cc-c8d6-4770-9daa-7b582209c5bb","IoT"
"421864fa-cad7-4214-9c2e-f262aa762661","Karian & Box Power BI"
"d9698506-5a13-423e-824d-399eae628300","CIPFA"
"c293a4f5-963d-4f1a-96d3-87fb243b3842","Derbyshire Constabulary"
"88738ae0-64db-4a2e-bdf3-5f19b83f2b49","Coaching"
"5fad5076-36f7-4f29-bd48-bcc11215820c","Services"
"37896d75-13fd-4cf9-9b62-e88b2b0df53e","Co-op TM1"
"98c2b6a3-2820-4248-9348-0f31618b748f","Stockport Metropolitan Borough Council"
"68449a34-4401-45a0-a2fd-01a21a17dee3","Co-op Upgrades"
"b0124905-d07a-47a6-bfe4-103a74e461fe","Co-op Upgrade Simpsons Only"
"e706eedb-3471-4c2c-a418-02f776cba967","LiveWest - Information Management Platform"
"b782f981-dc46-485c-b508-1b974b8c1695","ZScaler"
"99b90dbe-0005-41bb-b5a2-8953c2975932","IP Initatives"
"1f470530-fa21-4952-a12a-8e97bc52a37d","Royal British Legion"
"2d93435f-4491-436d-a34f-4197d36d06e6","LYHA Bid"
"543146e7-da1e-47fd-979f-e3f1b96d9800","Save the Children"
"10689c3d-6182-4914-8df7-f42f3ed5ec39","Audit"
"83da35d0-2112-4516-8f3e-53b19c9a57c8","St Helens Power BI Training"
"489df7d3-7608-423a-a4e3-3c80152240f6","Mike Test"
